"date","mob.bus","mob.full","mob.bus0"
2020-08-03,0.7275,0.9,0.643333333333333
2020-08-04,0.605,0.758333333333333,0.536666666666667
2020-08-05,0.7425,0.92,0.66
2020-08-06,0.7375,0.9,0.65
2020-08-07,0.685,0.82,0.606666666666667
2020-08-08,0.7975,0.975,0.746666666666667
2020-08-09,0.7725,0.996666666666667,0.74
2020-08-10,0.7075,0.88,0.636666666666667
2020-08-11,0.7175,0.896666666666667,0.636666666666667
2020-08-12,0.6975,0.856666666666667,0.616666666666667
2020-08-13,0.6925,0.833333333333333,0.61
2020-08-14,0.71,0.885,0.633333333333333
2020-08-15,0.7825,0.986666666666667,0.74
2020-08-16,0.6775,0.778333333333333,0.633333333333333
2020-08-17,0.6975,0.861666666666667,0.626666666666667
2020-08-18,0.7175,0.9175,0.64
2020-08-19,0.6825,0.833333333333333,0.613333333333333
2020-08-20,0.7325,0.931666666666667,0.65
2020-08-21,0.7125,0.881666666666667,0.64
2020-08-22,0.78,1.01333333333333,0.74
2020-08-23,0.7575,0.9675,0.716666666666667
2020-08-24,0.6975,0.863333333333333,0.633333333333333
2020-08-25,0.7075,0.865,0.636666666666667
2020-08-26,0.7275,0.913333333333333,0.653333333333333
2020-08-27,0.705,0.858333333333333,0.63
2020-08-28,0.705,0.848333333333333,0.63
2020-08-29,0.745,0.87,0.696666666666667
2020-08-30,0.79,1.06166666666667,0.753333333333333
2020-08-31,0.7025,0.863333333333333,0.636666666666667
2020-09-01,0.7325,0.893333333333333,0.653333333333333
2020-09-02,0.7125,0.848333333333333,0.633333333333333
2020-09-03,0.7375,0.89,0.653333333333333
2020-09-04,0.7425,0.905,0.656666666666667
2020-09-05,0.805,1.03333333333333,0.756666666666667
2020-09-06,0.7875,1.03083333333333,0.746666666666667
2020-09-07,0.5825,0.844166666666667,0.493333333333333
2020-09-08,0.7275,0.888333333333333,0.646666666666667
2020-09-09,0.7325,0.876666666666667,0.653333333333333
2020-09-10,0.7025,0.816666666666667,0.623333333333333
2020-09-11,0.74,0.886666666666667,0.663333333333333
2020-09-12,0.82,0.983333333333333,0.78
2020-09-13,0.7925,0.963333333333333,0.75
2020-09-14,0.735,0.886666666666667,0.67
2020-09-15,0.7575,0.896666666666667,0.686666666666667
2020-09-16,0.735,0.88,0.666666666666667
2020-09-17,0.735,0.868333333333333,0.663333333333333
2020-09-18,0.7375,0.865,0.666666666666667
2020-09-19,0.8125,0.946666666666667,0.773333333333333
2020-09-20,0.7775,0.933333333333333,0.736666666666667
2020-09-21,0.72,0.851666666666667,0.656666666666667
2020-09-22,0.735,0.865,0.663333333333333
2020-09-23,0.7375,0.868333333333333,0.666666666666667
2020-09-24,0.74,0.855,0.663333333333333
2020-09-25,0.7375,0.851666666666667,0.67
2020-09-26,0.8075,0.913333333333333,0.766666666666667
2020-09-27,0.7775,0.923333333333333,0.743333333333333
2020-09-28,0.695,0.828333333333333,0.63
2020-09-29,0.7,0.783333333333333,0.633333333333333
2020-09-30,0.7425,0.856666666666667,0.663333333333333
2020-10-01,0.7725,0.881666666666667,0.683333333333333
2020-10-02,0.745,0.838333333333333,0.666666666666667
2020-10-03,0.83,0.943333333333333,0.783333333333333
2020-10-04,0.785,0.925,0.74
2020-10-05,0.73,0.845,0.656666666666667
2020-10-06,0.745,0.866666666666667,0.663333333333333
2020-10-07,0.7175,0.828333333333333,0.643333333333333
2020-10-08,0.74,0.856666666666667,0.653333333333333
2020-10-09,0.7325,0.85,0.656666666666667
2020-10-10,0.8025,0.925,0.763333333333333
2020-10-11,0.755,0.878333333333333,0.713333333333333
2020-10-12,0.57,0.655,0.516666666666667
2020-10-13,0.7025,0.781666666666667,0.626666666666667
2020-10-14,0.7525,0.868333333333333,0.676666666666667
2020-10-15,0.76,0.885,0.676666666666667
2020-10-16,0.645,0.718333333333333,0.59
2020-10-17,0.83,0.93,0.78
2020-10-18,0.78,0.92,0.743333333333333
2020-10-19,0.7275,0.84,0.66
2020-10-20,0.73,0.835,0.656666666666667
2020-10-21,0.735,0.838333333333333,0.656666666666667
2020-10-22,0.7425,0.845,0.66
2020-10-23,0.7425,0.835,0.666666666666667
2020-10-24,0.8175,0.93,0.77
2020-10-25,0.78,0.886666666666667,0.736666666666667
2020-10-26,0.7,0.771666666666667,0.636666666666667
2020-10-27,0.7575,0.86,0.676666666666667
2020-10-28,0.7225,0.815,0.646666666666667
2020-10-29,0.64,0.715,0.583333333333333
2020-10-30,0.71,0.775,0.63
2020-10-31,0.83,0.913333333333333,0.763333333333333
2020-11-01,0.725,0.8,0.69
2020-11-02,0.715,0.783333333333333,0.64
2020-11-03,0.735,0.816666666666667,0.64
2020-11-04,0.7125,0.82,0.643333333333333
2020-11-05,0.7375,0.848333333333333,0.66
